Seed,Scheme,Approach,w1,b1,w2,b2,wx,wy,by,k_best,base_estimator,Missing_Percent,Accuracy,Balanced_Acc,F1,ROC_AUC,Imputation_score
0,MCAR_0.5,self_training,,,,,,,,1.0,XGBClassifier,52.88,0.8285714285714286,0.8300653594771241,0.8235294117647058,0.8464052287581699,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9375, 0.9444444444444444, 0.95, 0.9545454545454546, 0.9583333333333333, 0.9285714285714286, 0.9333333333333333, 0.8948717948717949, 0.8733031674208145, 0.8562753036437247, 0.8642857142857143, 0.8714285714285714, 0.8778409090909092, 0.8836317135549872, 0.8705882352941177, 0.8760683760683761, 0.8810916179337231, 0.8857142857142857, 0.8899835796387521, 0.893939393939394, 0.8541666666666667]"
0,MCAR_0.5,label_propagation,,,,,,,,,,52.88,0.7714285714285715,0.7745098039215685,0.75,0.8888888888888888,"[0.6081989247311828, 0.6727150537634409, 0.7211021505376345, 0.7211021505376345, 0.7211021505376345, 0.7211021505376345, 0.7211021505376345, 0.700268817204301, 0.700268817204301, 0.700268817204301, 0.700268817204301, 0.700268817204301, 0.700268817204301, 0.700268817204301, 0.700268817204301]"
0,MCAR_0.8,naive,,,,,,,,,,75.96,0.7428571428571429,0.7434640522875817,0.7428571428571429,0.8333333333333334,[]
0,MCAR_0.8,self_training,,,,,,,,1.0,SVC,75.96,0.8571428571428571,0.857843137254902,0.8571428571428571,0.9019607843137255,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9761904761904762, 0.9565217391304348, 0.9583333333333333, 0.96, 0.9615384615384616, 0.962962962962963, 0.9642857142857143, 0.945054945054945, 0.9469987228607918, 0.9488095238095238, 0.9333333333333333, 0.9197916666666667, 0.90625, 0.9090909090909091, 0.8974025974025974, 0.8857142857142857, 0.8888888888888888, 0.8786549707602339, 0.8694444444444445, 0.8727752142386289]"
0,MCAR_0.8,self_training,,,,,,,,1.0,LogisticRegression,75.96,0.8,0.8022875816993464,0.7878787878787878,0.8823529411764706,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9375, 0.9411764705882353, 0.9444444444444444, 0.9473684210526315, 0.95, 0.9523809523809523, 0.9545454545454546, 0.9565217391304348, 0.9583333333333334, 0.9407051282051282, 0.9230769230769231, 0.9259259259259259, 0.9285714285714286, 0.9310344827586207, 0.9171301446051168, 0.9197916666666667, 0.9222873900293255, 0.9090909090909091, 0.8974025974025974, 0.8717320261437909, 0.8752895752895753, 0.865934065934066, 0.8694444444444445, 0.8727752142386289]"
0,MCAR_0.8,self_training,,,,,,,,1.0,RandomForestClassifier,75.96,0.7714285714285715,0.772875816993464,0.7647058823529411,0.803921568627451,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98, 0.96, 0.942962962962963, 0.9259259259259259, 0.9112388250319285, 0.9142857142857144, 0.9017857142857143, 0.8907563025210083, 0.8940886699507389, 0.8844361602982292, 0.887719298245614, 0.8741776315789473, 0.8496503496503496, 0.8388278388278387, 0.8166666666666667, 0.8091628213579434]"
0,MCAR_0.8,self_training,,,,,,,,1.0,XGBClassifier,75.96,0.5142857142857142,0.5098039215686274,0.5853658536585366,0.5098039215686274,"[1.0, 1.0, 1.0, 1.0, 0.9166666666666667, 0.9285714285714286, 0.9375, 0.9444444444444444, 0.95, 0.9166666666666667, 0.8666666666666667, 0.8776223776223776, 0.8545454545454545, 0.8368983957219251, 0.8054298642533937, 0.753968253968254, 0.7684210526315789, 0.7507739938080495, 0.7368421052631579, 0.7255639097744361, 0.7386363636363636, 0.7291666666666667, 0.7211538461538461, 0.6904761904761905, 0.6847290640394088, 0.696969696969697, 0.6875, 0.6987096774193549, 0.6905615292712066, 0.6674107142857143, 0.6614583333333333, 0.65625, 0.6363636363636364, 0.6324675324675324, 0.6425061425061425, 0.6243243243243244, 0.6081081081081081, 0.605263157894737, 0.5914473684210526]"
0,MCAR_0.8,label_propagation,,,,,,,,,,75.96,0.5714285714285714,0.576797385620915,0.4827586206896552,0.6862745098039216,"[0.631578947368421, 0.6578947368421053, 0.6588575096277278, 0.67201540436457, 0.6598202824133504, 0.6476251604621309, 0.6607830551989731, 0.6607830551989731, 0.6607830551989731, 0.6739409499358151, 0.6739409499358151, 0.6739409499358151, 0.6739409499358151, 0.6739409499358151, 0.6739409499358151, 0.6739409499358151, 0.6739409499358151, 0.6739409499358151, 0.6739409499358151, 0.6617458279845956, 0.6617458279845956, 0.6617458279845956, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377, 0.6749037227214377]"
0,MAR1,naive,1.0,0.0,,,,,,,,48.08,0.8,0.803921568627451,0.7741935483870968,0.8888888888888888,[]
0,MAR1,self_training,1.0,0.0,,,,,,1.0,SVC,48.08,0.8285714285714286,0.8316993464052287,0.8125,0.9117647058823529,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9722222222222222, 0.95, 0.9523809523809523, 0.9260651629072681, 0.9047619047619048, 0.8871635610766045, 0.8484848484848485, 0.8356643356643356, 0.820450885668277]"
0,MAR1,self_training,1.0,0.0,,,,,,1.0,LogisticRegression,48.08,0.7714285714285715,0.7761437908496732,0.7333333333333333,0.8954248366013071,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9705882352941176, 0.9722222222222222, 0.9736842105263157, 0.9222222222222223, 0.9260651629072681, 0.8818181818181818, 0.8636363636363636, 0.8260869565217391, 0.8130434782608695, 0.820450885668277]"
0,MAR1,self_training,1.0,0.0,,,,,,1.0,RandomForestClassifier,48.08,0.7714285714285715,0.7712418300653594,0.7777777777777778,0.8496732026143791,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.9642857142857143, 0.9666666666666667, 0.96875, 0.9705882352941176, 0.9473684210526316, 0.9285714285714286, 0.9318181818181819, 0.9347826086956521, 0.9084668192219679, 0.8871635610766045, 0.8920454545454546, 0.8547826086956521, 0.8421900161030595]"
0,MAR1,self_training,1.0,0.0,,,,,,1.0,XGBClassifier,48.08,0.7142857142857143,0.7173202614379085,0.6875,0.7320261437908496,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9444444444444444, 0.95, 0.9545454545454546, 0.9090909090909091, 0.8776223776223776, 0.8095238095238095, 0.7916666666666667, 0.7777777777777778, 0.753968253968254, 0.7087719298245614, 0.725, 0.7394957983193278, 0.7301790281329923, 0.7162471395881007, 0.7291666666666667, 0.7178030303030303, 0.7097902097902098, 0.7214170692431562]"
0,MAR1,label_propagation,1.0,0.0,,,,,,,,48.08,0.6857142857142857,0.6928104575163399,0.5925925925925926,0.8562091503267973,"[0.6739130434782609, 0.6988727858293076, 0.6988727858293076, 0.7206119162640902, 0.7423510466988728, 0.7423510466988728, 0.7423510466988728, 0.7423510466988728, 0.7423510466988728, 0.7423510466988728]"
0,MAR1,naive,1.0,2.0,,,,,,,,81.73,0.6285714285714286,0.6372549019607843,0.48,0.8529411764705882,[]
0,MAR1,self_training,1.0,2.0,,,,,,1.0,SVC,81.73,0.8571428571428571,0.8562091503267973,0.8648648648648649,0.8562091503267973,"[0.5, 0.75, 0.8333333333333333, 0.875, 0.9, 0.9166666666666667, 0.9285714285714286, 0.9375, 0.9444444444444444, 0.95, 0.9545454545454546, 0.9583333333333333, 0.9615384615384616, 0.9642857142857143, 0.9666666666666667, 0.96875, 0.9705882352941176, 0.9722222222222222, 0.9736842105263157, 0.975, 0.9761904761904762, 0.9544513457556936, 0.956439393939394, 0.9582608695652174, 0.9412238325281803, 0.9434523809523809, 0.9455172413793103, 0.9474358974358974, 0.9145758661887694, 0.899888765294772, 0.8870967741935484, 0.890625, 0.8939393939393939, 0.8970588235294117, 0.8999999999999999, 0.8888030888030888, 0.8918128654970761, 0.8819444444444444, 0.8717105263157895, 0.8625, 0.8535714285714285, 0.8333333333333333]"
0,MAR1,self_training,1.0,2.0,,,,,,1.0,LogisticRegression,81.73,0.8285714285714286,0.8300653594771241,0.8235294117647058,0.8921568627450981,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.945054945054945, 0.9285714285714286, 0.9142857142857144, 0.9171301446051168, 0.9197916666666667, 0.9222873900293255, 0.9246323529411764, 0.9268398268398268, 0.928921568627451, 0.930888030888031, 0.9327485380116959, 0.9210526315789473, 0.9105263157894736, 0.9, 0.8904761904761904, 0.8928571428571428]"
0,MAR1,self_training,1.0,2.0,,,,,,1.0,RandomForestClassifier,81.73,0.8,0.8006535947712419,0.8,0.8627450980392157,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9736842105263157, 0.975, 0.9761904761904762, 0.9772727272727273, 0.9782608695652174, 0.9791666666666667, 0.98, 0.9807692307692308, 0.9642857142857143, 0.9655172413793103, 0.9666666666666667, 0.967741935483871, 0.9545454545454546, 0.9233193277310925, 0.9256157635467981, 0.9105990783410138, 0.8836805555555556, 0.8741776315789473, 0.865625, 0.8536764705882353, 0.8430555555555556, 0.8335526315789473, 0.8126954346466542, 0.8053571428571429, 0.7983550765740215]"
0,MAR1,self_training,1.0,2.0,,,,,,1.0,XGBClassifier,81.73,0.37142857142857144,0.37254901960784315,0.35294117647058826,0.35947712418300654,"[0.5, 0.5, 0.8, 0.6333333333333333, 0.7083333333333333, 0.7571428571428571, 0.7333333333333334, 0.7666666666666666, 0.75, 0.7747252747252746, 0.7619047619047619, 0.78125, 0.7973856209150327, 0.8111111111111111, 0.8229665071770335, 0.8333333333333333, 0.8424908424908425, 0.8311036789297659, 0.8392857142857143, 0.7933333333333333, 0.7524038461538461, 0.7636165577342048, 0.746588693957115, 0.7328042328042328, 0.702922077922078, 0.6754122938530734, 0.6499999999999999, 0.6264516129032258, 0.6045673076923077, 0.6004464285714286, 0.58098223615465, 0.5627450980392157, 0.5456221198156681, 0.5441558441558441, 0.5428571428571428, 0.5277777777777778, 0.5135135135135135, 0.5, 0.5, 0.48749218261413385, 0.47560975609756095, 0.4648326715825298]"
0,MAR1,label_propagation,1.0,2.0,,,,,,,,81.73,0.6,0.6078431372549019,0.46153846153846156,0.630718954248366,"[0.5357142857142857, 0.5357142857142857, 0.5357142857142857, 0.5357142857142857, 0.5476190476190477, 0.5476190476190477, 0.5714285714285714, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892, 0.5717054263565892]"
0,MAR1,naive,3.0,0.0,,,,,,,,44.23,0.7142857142857143,0.7189542483660131,0.6666666666666666,0.8071895424836601,[]
0,MAR1,self_training,3.0,0.0,,,,,,1.0,SVC,44.23,0.7428571428571429,0.7434640522875817,0.7428571428571429,0.826797385620915,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9444444444444444, 0.95, 0.9545454545454546, 0.9583333333333333, 0.9615384615384616, 0.9642857142857143, 0.9666666666666667, 0.96875, 0.907843137254902, 0.8823529411764706, 0.8888888888888888, 0.8947368421052632, 0.8759398496240601, 0.8604118993135011, 0.8473684210526315, 0.8288461538461538]"
0,MAR1,self_training,3.0,0.0,,,,,,1.0,LogisticRegression,44.23,0.8571428571428571,0.8611111111111112,0.8387096774193549,0.9705882352941176,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9642857142857143, 0.9666666666666667, 0.96875, 0.9375, 0.9411764705882353, 0.9444444444444444, 0.8947368421052632, 0.8759398496240601, 0.8818181818181818, 0.8875, 0.8923076923076922]"
0,MAR1,self_training,3.0,0.0,,,,,,1.0,RandomForestClassifier,44.23,0.8285714285714286,0.8284313725490196,0.8333333333333334,0.8954248366013071,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96875, 0.9705882352941176, 0.9473684210526316, 0.9179566563467492, 0.8991596638655461, 0.8836317135549872, 0.8888888888888888, 0.8473684210526315, 0.8538461538461539]"
0,MAR1,self_training,3.0,0.0,,,,,,1.0,XGBClassifier,44.23,0.6857142857142857,0.6895424836601307,0.6451612903225806,0.826797385620915,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.9642857142857143, 0.9666666666666667, 0.9411764705882353, 0.9210526315789473, 0.9047619047619048, 0.8714285714285714, 0.84593837535014, 0.803030303030303, 0.7916666666666667, 0.7547368421052632, 0.7211538461538461]"
0,MAR1,label_propagation,3.0,0.0,,,,,,,,44.23,0.6571428571428571,0.6617647058823529,0.6,0.6568627450980392,"[0.6, 0.6307692307692307, 0.6807692307692308, 0.7057692307692308, 0.7307692307692308, 0.7307692307692308, 0.7307692307692308, 0.7307692307692308, 0.7307692307692308, 0.7307692307692308, 0.7307692307692308]"
0,MAR1,naive,3.0,2.0,,,,,,,,67.31,0.6857142857142857,0.6813725490196079,0.7317073170731707,0.7875816993464052,[]
0,MAR1,self_training,3.0,2.0,,,,,,1.0,SVC,67.31,0.9142857142857143,0.9133986928104575,0.918918918918919,0.9542483660130718,"[1.0, 1.0, 0.875, 0.9, 0.9166666666666667, 0.9285714285714286, 0.9375, 0.9444444444444444, 0.95, 0.9545454545454546, 0.9583333333333333, 0.9615384615384616, 0.9642857142857143, 0.9666666666666667, 0.96875, 0.9705882352941176, 0.9722222222222222, 0.9736842105263157, 0.975, 0.9761904761904762, 0.9565217391304348, 0.94, 0.898076923076923, 0.9021164021164021, 0.8652597402597402, 0.8545454545454545, 0.8451704545454546, 0.8368983957219251, 0.8295454545454546, 0.8349001175088131, 0.8283166109253066, 0.8223753976670201, 0.8273809523809523, 0.8004651162790697, 0.7955555555555556]"
0,MAR1,self_training,3.0,2.0,,,,,,1.0,LogisticRegression,67.31,0.7428571428571429,0.7418300653594772,0.7567567567567568,0.8790849673202614,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96875, 0.9705882352941176, 0.9131944444444444, 0.9179566563467492, 0.8947368421052632, 0.8759398496240601, 0.8818181818181818, 0.8871635610766045, 0.8723809523809524, 0.8776223776223776, 0.8652597402597402, 0.8703148425787106, 0.8597475455820476, 0.8504611330698286, 0.8553921568627451, 0.8472222222222222, 0.8399122807017544, 0.8333333333333333, 0.838048780487805, 0.8320930232558139, 0.8155555555555556]"
0,MAR1,self_training,3.0,2.0,,,,,,1.0,RandomForestClassifier,67.31,0.8571428571428571,0.8545751633986928,0.8717948717948718,0.869281045751634,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9642857142857143, 0.9666666666666667, 0.96875, 0.9705882352941176, 0.9473684210526316, 0.95, 0.9318181818181819, 0.9166666666666667, 0.9038461538461539, 0.8928571428571428, 0.896551724137931, 0.8702359346642468, 0.8607809847198642, 0.825, 0.8068181818181819, 0.813570487483531, 0.8062111801242235, 0.8125, 0.7927631578947368, 0.7875, 0.7708333333333333, 0.7455813953488373, 0.731111111111111]"
0,MAR1,self_training,3.0,2.0,,,,,,1.0,XGBClassifier,67.31,0.7142857142857143,0.7107843137254902,0.75,0.7189542483660131,"[1.0, 1.0, 1.0, 0.9, 0.9166666666666667, 0.9285714285714286, 0.9375, 0.9444444444444444, 0.95, 0.9545454545454546, 0.9583333333333333, 0.9166666666666666, 0.8869047619047619, 0.8645833333333333, 0.8472222222222222, 0.8333333333333333, 0.8424908424908425, 0.8506493506493507, 0.8579710144927537, 0.8645833333333333, 0.8705882352941177, 0.8594771241830066, 0.8498985801217038, 0.8415559772296015, 0.8472222222222222, 0.8398692810457516, 0.8045112781954887, 0.8111111111111111, 0.7929292929292929, 0.7870813397129186, 0.7809364548494984, 0.764050901378579, 0.7589285714285714, 0.7539534883720931, 0.7468181818181818]"
0,MAR1,label_propagation,3.0,2.0,,,,,,,,67.31,0.6571428571428571,0.6535947712418301,0.7,0.7516339869281046,"[0.66, 0.6799999999999999, 0.6688888888888889, 0.6977777777777778, 0.6977777777777778, 0.6977777777777778, 0.6866666666666666, 0.7066666666666667, 0.7066666666666667, 0.7355555555555555, 0.7355555555555555, 0.7355555555555555, 0.7644444444444445, 0.7422222222222222, 0.7622222222222222, 0.7622222222222222, 0.7822222222222222, 0.7911111111111111, 0.7911111111111111, 0.7911111111111111, 0.78, 0.768888888888889, 0.768888888888889, 0.7466666666666666, 0.7244444444444444, 0.7244444444444444, 0.7244444444444444, 0.7022222222222223, 0.7022222222222223, 0.7022222222222223, 0.6911111111111111, 0.6911111111111111, 0.6911111111111111, 0.6911111111111111, 0.6911111111111111, 0.6911111111111111, 0.6911111111111111, 0.6911111111111111, 0.6799999999999999, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889, 0.6688888888888889]"
0,MAR2,naive,,,1.0,0.0,,,,,,44.23,0.8,0.803921568627451,0.7741935483870968,0.8562091503267973,[]
0,MAR2,self_training,,,1.0,0.0,,,,1.0,SVC,44.23,0.7714285714285715,0.7761437908496732,0.7333333333333333,0.8464052287581699,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9642857142857143, 0.96875, 0.9722222222222222, 0.9352226720647774, 0.9035714285714285, 0.8761904761904762, 0.8782608695652174, 0.8541666666666667, 0.8329411764705883, 0.8344226579520697, 0.8356997971602435]"
0,MAR2,self_training,,,1.0,0.0,,,,1.0,LogisticRegression,44.23,0.7714285714285715,0.7745098039215685,0.75,0.8627450980392157,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9642857142857143, 0.9375, 0.9411764705882353, 0.9473684210526316, 0.9142857142857144, 0.8857142857142857, 0.8898550724637682, 0.8645833333333333, 0.8423529411764705, 0.8453159041394336, 0.8478701825557808]"
0,MAR2,self_training,,,1.0,0.0,,,,1.0,RandomForestClassifier,44.23,0.7428571428571429,0.7467320261437909,0.7096774193548387,0.8169934640522876,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9642857142857143, 0.9375, 0.9411764705882353, 0.9210526315789473, 0.9047619047619048, 0.9090909090909092, 0.8958333333333333, 0.8466666666666667, 0.8533653846153846, 0.84375, 0.8498985801217038]"
0,MAR2,self_training,,,1.0,0.0,,,,1.0,XGBClassifier,44.23,0.8285714285714286,0.8300653594771241,0.8235294117647058,0.8464052287581699,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.9333333333333333, 0.8645833333333333, 0.8733031674208145, 0.8809523809523809, 0.8642857142857143, 0.8506493506493507, 0.8392857142857143, 0.8133333333333334, 0.8222222222222222, 0.7991071428571428, 0.7789046653144016]"
0,MAR2,label_propagation,,,1.0,0.0,,,,,,44.23,0.8,0.8055555555555556,0.7586206896551724,0.9509803921568627,"[0.7068965517241379, 0.7068965517241379, 0.7586206896551724, 0.7586206896551724, 0.7586206896551724, 0.7586206896551724, 0.7586206896551724, 0.7586206896551724, 0.7586206896551724, 0.7586206896551724, 0.7586206896551724, 0.7292089249492901, 0.7292089249492901, 0.7292089249492901, 0.7292089249492901, 0.7292089249492901, 0.7292089249492901, 0.7292089249492901]"
0,MAR2,naive,,,1.0,2.0,,,,,,47.12,0.7428571428571429,0.7483660130718954,0.6896551724137931,0.8562091503267973,[]
0,MAR2,self_training,,,1.0,2.0,,,,1.0,SVC,47.12,0.8285714285714286,0.8316993464052287,0.8125,0.9019607843137254,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9642857142857143, 0.9333333333333333, 0.90625, 0.90625, 0.8823529411764706, 0.8611111111111112, 0.8611111111111112, 0.8611111111111112]"
0,MAR2,self_training,,,1.0,2.0,,,,1.0,LogisticRegression,47.12,0.7714285714285715,0.7745098039215685,0.75,0.8627450980392157,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9666666666666667, 0.9411764705882353, 0.9444444444444444, 0.95, 0.9190476190476191, 0.8920454545454546, 0.8682864450127876, 0.871764705882353, 0.8747276688453158, 0.8531746031746033, 0.8555555555555556]"
0,MAR2,self_training,,,1.0,2.0,,,,1.0,RandomForestClassifier,47.12,0.8285714285714286,0.8300653594771241,0.8235294117647058,0.8333333333333334,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9666666666666667, 0.9411764705882353, 0.9444444444444444, 0.9473684210526316, 0.9285714285714286, 0.9318181818181819, 0.8836317135549872, 0.8705882352941177, 0.8594771241830066, 0.8498985801217038, 0.8555555555555556]"
0,MAR2,self_training,,,1.0,2.0,,,,1.0,XGBClassifier,47.12,0.8,0.8022875816993464,0.7878787878787878,0.8562091503267973,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9615384615384616, 0.9333333333333333, 0.9117647058823529, 0.8947368421052632, 0.9, 0.8642857142857143, 0.8714285714285714, 0.8579710144927537, 0.8645833333333333, 0.8533653846153846, 0.84375, 0.8354166666666667, 0.8121442125237192]"
0,MAR2,label_propagation,,,1.0,2.0,,,,,,47.12,0.7428571428571429,0.7467320261437909,0.7096774193548387,0.7614379084967321,"[0.6935483870967742, 0.6935483870967742, 0.7419354838709677, 0.7419354838709677, 0.7419354838709677, 0.7419354838709677, 0.7419354838709677, 0.7419354838709677, 0.7419354838709677, 0.7419354838709677, 0.7419354838709677, 0.71415770609319, 0.71415770609319, 0.71415770609319, 0.71415770609319, 0.71415770609319, 0.71415770609319, 0.71415770609319]"
0,MAR2,naive,,,3.0,0.0,,,,,,44.23,0.8,0.803921568627451,0.7741935483870968,0.8562091503267973,[]
